2016-05-01-17:30,62.26
2016-05-01-17:35,62.26
2016-05-01-17:40,62.26
2016-05-01-17:45,62.38
2016-05-01-17:50,62.26
2016-05-01-17:55,62.26
2016-05-01-18:00,62.26
2016-05-01-18:05,62.26
2016-05-01-18:10,62.26
2016-05-01-18:15,62.26
2016-05-01-18:20,62.26
2016-05-01-18:25,62.26
2016-05-01-18:30,62.26
2016-05-01-18:35,62.26
2016-05-01-18:40,62.26
2016-05-01-18:45,62.26
2016-05-01-18:50,62.26
2016-05-01-18:55,62.26
2016-05-01-19:00,62.26
2016-05-01-19:05,62.38
2016-05-01-19:10,62.38
2016-05-01-19:15,62.38
2016-05-01-19:20,62.38
2016-05-01-19:25,62.38
2016-05-01-19:30,62.38
2016-05-01-19:35,62.38
2016-05-01-19:40,62.38
2016-05-01-19:45,62.38
2016-05-01-19:50,62.38
2016-05-01-19:55,62.38
2016-05-01-20:00,62.38
2016-05-01-20:05,62.38
2016-05-01-20:10,62.38
2016-05-01-20:15,62.38
2016-05-01-20:20,62.38
2016-05-01-20:25,62.38
2016-05-01-20:30,62.38
2016-05-01-20:35,62.38
2016-05-01-20:40,62.38
2016-05-01-20:45,62.38
2016-05-01-20:50,62.38
2016-05-01-20:55,62.38
2016-05-01-21:00,62.38
2016-05-01-21:05,62.60
2016-05-01-21:10,62.49
2016-05-01-21:15,62.49
2016-05-01-21:20,62.49
2016-05-01-21:25,62.49
2016-05-01-21:30,62.38
2016-05-01-21:35,62.49
2016-05-01-21:40,62.49
2016-05-01-21:45,62.49
2016-05-01-21:50,62.49
2016-05-01-21:55,62.49
2016-05-01-22:00,62.49
2016-05-01-22:05,62.49
2016-05-01-22:10,62.49
2016-05-01-22:15,62.49
2016-05-01-22:20,62.49
2016-05-01-22:25,62.49
2016-05-01-22:30,62.49
2016-05-01-22:35,62.49
2016-05-01-22:40,62.49
2016-05-01-22:45,62.49
2016-05-01-22:50,62.49
2016-05-01-22:55,62.49
2016-05-01-23:00,62.49
2016-05-01-23:05,62.49
2016-05-01-23:10,62.49
2016-05-01-23:15,62.49
2016-05-01-23:20,62.49
2016-05-01-23:25,62.49
2016-05-01-23:30,62.49
2016-05-01-23:35,62.49
2016-05-01-23:40,62.60
2016-05-01-23:45,62.49
2016-05-01-23:50,62.60
2016-05-01-23:55,62.49
2016-05-02-00:00,62.60
2016-05-02-00:05,62.60
2016-05-02-00:10,62.60
2016-05-02-00:15,62.60
2016-05-02-00:20,62.60
2016-05-02-00:25,62.60
2016-05-02-00:30,62.60
2016-05-02-00:35,62.60
2016-05-02-00:40,62.60
2016-05-02-00:45,62.60
2016-05-02-00:50,62.60
2016-05-02-00:55,62.60
2016-05-02-01:00,62.60
2016-05-02-01:05,62.60
2016-05-02-01:10,62.60
2016-05-02-01:15,62.60
2016-05-02-01:20,62.60
2016-05-02-01:25,62.60
2016-05-02-01:30,62.60
2016-05-02-01:35,62.60
2016-05-02-01:40,62.60
2016-05-02-01:45,62.60
2016-05-02-01:50,62.60
2016-05-02-01:55,62.60
2016-05-02-02:00,62.60
2016-05-02-02:05,62.60
2016-05-02-02:10,62.60
2016-05-02-02:15,62.60
2016-05-02-02:20,62.60
2016-05-02-02:25,62.60
2016-05-02-02:30,62.60
2016-05-02-02:35,62.60
2016-05-02-02:40,62.60
2016-05-02-02:45,62.60
2016-05-02-02:50,62.60
2016-05-02-02:55,62.60
2016-05-02-03:00,62.60
2016-05-02-03:05,62.60
2016-05-02-03:10,62.60
2016-05-02-03:15,62.60
2016-05-02-03:20,62.60
2016-05-02-03:25,62.49
2016-05-02-03:30,62.60
2016-05-02-03:35,62.60
2016-05-02-03:40,62.60
2016-05-02-03:45,62.60
2016-05-02-03:50,62.60
2016-05-02-03:55,62.60
2016-05-02-04:00,62.60
2016-05-02-04:05,62.60
2016-05-02-04:10,62.60
2016-05-02-04:15,62.60
2016-05-02-04:20,62.60
2016-05-02-04:25,62.60
2016-05-02-04:30,62.49
2016-05-02-04:35,62.60
2016-05-02-04:40,62.49
2016-05-02-04:45,62.49
2016-05-02-04:50,62.49
2016-05-02-04:55,62.49
2016-05-02-05:00,62.49
2016-05-02-05:05,62.49
2016-05-02-05:10,62.49
2016-05-02-05:15,62.49
2016-05-02-05:20,62.49
2016-05-02-05:25,62.49
2016-05-02-05:30,62.49
2016-05-02-05:35,62.49
2016-05-02-05:40,62.49
2016-05-02-05:45,62.49
2016-05-02-05:50,62.49
2016-05-02-05:55,62.49
2016-05-02-06:00,62.49
2016-05-02-06:05,62.49
2016-05-02-06:10,62.49
2016-05-02-06:15,62.49
2016-05-02-06:20,62.49
2016-05-02-06:25,62.49
2016-05-02-06:30,62.49
2016-05-02-06:35,62.49
2016-05-02-06:40,62.49
2016-05-02-06:45,62.49
2016-05-02-06:50,62.49
2016-05-02-06:55,62.49
2016-05-02-07:00,62.49
2016-05-02-07:05,62.49
2016-05-02-07:10,62.49
2016-05-02-07:15,62.49
2016-05-02-07:20,62.49
2016-05-02-07:25,62.49
2016-05-02-07:30,62.49
2016-05-02-07:35,62.49
2016-05-02-07:40,62.49
2016-05-02-07:45,62.49
2016-05-02-07:50,62.49
2016-05-02-07:55,62.49
2016-05-02-08:00,62.49
2016-05-02-08:05,62.49
2016-05-02-08:10,62.49
2016-05-02-08:15,62.49
2016-05-02-08:20,62.49
2016-05-02-08:25,62.60
2016-05-02-08:30,62.49
2016-05-02-08:35,62.60
2016-05-02-08:40,62.60
2016-05-02-08:45,62.60
2016-05-02-08:50,62.60
2016-05-02-08:55,62.60
2016-05-02-09:00,62.60
2016-05-02-09:05,62.60
2016-05-02-09:10,62.60
2016-05-02-09:15,62.60
2016-05-02-09:20,62.60
2016-05-02-09:25,62.60
2016-05-02-09:30,62.60
2016-05-02-09:35,62.60
2016-05-02-09:40,62.60
2016-05-02-09:45,62.60
2016-05-02-09:50,62.60
2016-05-02-09:55,62.60
2016-05-02-10:00,62.60
2016-05-02-10:05,62.60
2016-05-02-10:10,62.60
2016-05-02-10:15,62.60
2016-05-02-10:20,62.60
2016-05-02-10:25,62.60
2016-05-02-10:30,62.71
2016-05-02-10:35,62.60
2016-05-02-10:40,62.60
2016-05-02-10:45,62.60
2016-05-02-10:50,62.60
2016-05-02-10:55,62.71
2016-05-02-11:00,62.71
2016-05-02-11:05,62.71
2016-05-02-11:10,62.71
2016-05-02-11:15,62.71
2016-05-02-11:20,62.71
2016-05-02-11:25,62.71
2016-05-02-11:30,62.71
2016-05-02-11:35,62.83
2016-05-02-11:40,62.94
2016-05-02-11:45,62.83
2016-05-02-11:50,62.83
2016-05-02-11:55,62.83
2016-05-02-12:00,62.83
2016-05-02-12:05,62.83
2016-05-02-12:10,62.83
2016-05-02-12:15,62.94
2016-05-02-12:20,62.94
2016-05-02-12:25,62.94
2016-05-02-12:30,62.94
2016-05-02-12:35,62.94
2016-05-02-12:40,62.94
2016-05-02-12:45,62.94
2016-05-02-12:50,62.94
2016-05-02-12:55,63.05
2016-05-02-13:00,63.05
2016-05-02-13:05,63.05
2016-05-02-13:10,63.05
2016-05-02-13:15,63.05
2016-05-02-13:20,63.05
2016-05-02-13:25,63.05
2016-05-02-13:30,63.16
2016-05-02-13:35,63.16
2016-05-02-13:40,63.16
2016-05-02-13:45,63.16
2016-05-02-13:50,63.16
2016-05-02-13:55,63.16
2016-05-02-14:00,63.28
2016-05-02-14:05,63.28
2016-05-02-14:10,63.28
2016-05-02-14:15,63.28
2016-05-02-14:20,63.28
2016-05-02-14:25,63.28
2016-05-02-14:30,63.28
2016-05-02-14:35,63.28
2016-05-02-14:40,63.39
2016-05-02-14:45,63.39
2016-05-02-14:50,63.39
2016-05-02-14:55,63.39
2016-05-02-15:00,63.39
2016-05-02-15:05,63.39
2016-05-02-15:10,63.39
2016-05-02-15:15,63.50
2016-05-02-15:20,63.50
2016-05-02-15:25,63.50
2016-05-02-15:30,63.50
2016-05-02-15:35,63.50
2016-05-02-15:40,63.50
2016-05-02-15:45,63.50
2016-05-02-15:50,63.61
2016-05-02-15:55,63.61
2016-05-02-16:00,63.61
2016-05-02-16:05,63.61
2016-05-02-16:10,63.61
2016-05-02-16:15,63.61
2016-05-02-16:20,63.61
2016-05-02-16:25,63.61
2016-05-02-16:30,63.61
2016-05-02-16:35,63.61
2016-05-02-16:40,63.73
2016-05-02-16:45,63.73
2016-05-02-16:50,63.73
2016-05-02-16:55,63.73
2016-05-02-17:00,63.73
2016-05-02-17:05,63.73
2016-05-02-17:10,63.73
2016-05-02-17:15,63.73
2016-05-02-17:20,63.73
2016-05-02-17:25,63.84
2016-05-02-17:30,63.84
2016-05-02-17:35,63.84
2016-05-02-17:40,63.84
2016-05-02-17:45,63.84
2016-05-02-17:50,63.84
2016-05-02-17:55,63.84
2016-05-02-18:00,63.84
2016-05-02-18:05,63.84
2016-05-02-18:10,63.84
2016-05-02-18:15,63.84
2016-05-02-18:20,63.84
2016-05-02-18:25,63.84
2016-05-02-18:30,63.84
2016-05-02-18:35,63.84
2016-05-02-18:40,63.84
2016-05-02-18:45,63.84
2016-05-02-18:50,63.95
2016-05-02-18:55,63.95
2016-05-02-19:00,63.95
